,date,imoex,SBER,GAZP,LKOH,SBERP,GMKN,NVTK,YNDX,TATN,TATNP,SNGS,POLY,ROSN,TCSG,PLZL,SNGSP,MGNT,MTSS,ALRS,PHOR,PIKK,RUAL,VTBR,FIVE,NLMK,CHMF,IRAO,MOEX,MAIL,MAGN,OZON,RTKM,TRNFP,FIXP,DSKY,HYDR,AGRO,AFLT,POGR,VKCO,AFKS,ENPG,MFON,MFON*,CBOM,HHRU,FEES,FLOT,RNFT,LNTA,LSRG,MTLR,UPRO,SFIN,GLTR,TRMK,MVID,QIWI,SGZH,SELG,MTLRP,NMTP,RSTI,POSI,SMLT,UWGN,MSNG
10,2003-11-01,484.73,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32
11,2003-12-01,514.71,677.0,677.0,677.0,677.0,677.0,677.0,677.0,677.0,677.0,677.0,677.0,677.0,677.0,677.0,677.0,677.0,677.0,677.0,677.0,677.0,677.0,677.0,677.0,677.0,677.0,677.0,677.0,677.0,677.0,677.0,677.0,677.0,677.0,677.0,677.0,677.0,677.0,677.0,677.0,677.0,677.0,677.0,677.0,677.0,677.0,677.0,677.0,677.0,677.0,677.0,677.0,677.0,677.0,677.0,677.0,677.0,677.0,677.0,677.0,677.0,677.0,677.0,677.0,677.0,677.0,677.0
12,2004-01-01,551.72,736.0,736.0,736.0,736.0,736.0,736.0,736.0,736.0,736.0,736.0,736.0,736.0,736.0,736.0,736.0,736.0,736.0,736.0,736.0,736.0,736.0,736.0,736.0,736.0,736.0,736.0,736.0,736.0,736.0,736.0,736.0,736.0,736.0,736.0,736.0,736.0,736.0,736.0,736.0,736.0,736.0,736.0,736.0,736.0,736.0,736.0,736.0,736.0,736.0,736.0,736.0,736.0,736.0,736.0,736.0,736.0,736.0,736.0,736.0,736.0,736.0,736.0,736.0,736.0,736.0,736.0
13,2004-02-01,591.09,801.8,801.8,801.8,801.8,801.8,801.8,801.8,801.8,801.8,801.8,801.8,801.8,801.8,801.8,801.8,801.8,801.8,801.8,801.8,801.8,801.8,801.8,801.8,801.8,801.8,801.8,801.8,801.8,801.8,801.8,801.8,801.8,801.8,801.8,801.8,801.8,801.8,801.8,801.8,801.8,801.8,801.8,801.8,801.8,801.8,801.8,801.8,801.8,801.8,801.8,801.8,801.8,801.8,801.8,801.8,801.8,801.8,801.8,801.8,801.8,801.8,801.8,801.8,801.8,801.8,801.8
14,2004-03-01,644.64,886.0,886.0,886.0,886.0,886.0,886.0,886.0,886.0,886.0,886.0,886.0,886.0,886.0,886.0,886.0,886.0,886.0,886.0,886.0,886.0,886.0,886.0,886.0,886.0,886.0,886.0,886.0,886.0,886.0,886.0,886.0,886.0,886.0,886.0,886.0,886.0,886.0,886.0,886.0,886.0,886.0,886.0,886.0,886.0,886.0,886.0,886.0,886.0,886.0,886.0,886.0,886.0,886.0,886.0,886.0,886.0,886.0,886.0,886.0,886.0,886.0,886.0,886.0,886.0,886.0,886.0
15,2004-04-01,561.78,793.77,793.77,793.77,793.77,793.77,793.77,793.77,793.77,793.77,793.77,793.77,793.77,793.77,793.77,793.77,793.77,793.77,793.77,793.77,793.77,793.77,793.77,793.77,793.77,793.77,793.77,793.77,793.77,793.77,793.77,793.77,793.77,793.77,793.77,793.77,793.77,793.77,793.77,793.77,793.77,793.77,793.77,793.77,793.77,793.77,793.77,793.77,793.77,793.77,793.77,793.77,793.77,793.77,793.77,793.77,793.77,793.77,793.77,793.77,793.77,793.77,793.77,793.77,793.77,793.77,793.77
16,2004-05-01,535.4,810.5,810.5,810.5,810.5,810.5,810.5,810.5,810.5,810.5,810.5,810.5,810.5,810.5,810.5,810.5,810.5,810.5,810.5,810.5,810.5,810.5,810.5,810.5,810.5,810.5,810.5,810.5,810.5,810.5,810.5,810.5,810.5,810.5,810.5,810.5,810.5,810.5,810.5,810.5,810.5,810.5,810.5,810.5,810.5,810.5,810.5,810.5,810.5,810.5,810.5,810.5,810.5,810.5,810.5,810.5,810.5,810.5,810.5,810.5,810.5,810.5,810.5,810.5,810.5,810.5,810.5
17,2004-06-01,534.84,763.0,763.0,763.0,763.0,763.0,763.0,763.0,763.0,763.0,763.0,763.0,763.0,763.0,763.0,763.0,763.0,763.0,763.0,763.0,763.0,763.0,763.0,763.0,763.0,763.0,763.0,763.0,763.0,763.0,763.0,763.0,763.0,763.0,763.0,763.0,763.0,763.0,763.0,763.0,763.0,763.0,763.0,763.0,763.0,763.0,763.0,763.0,763.0,763.0,763.0,763.0,763.0,763.0,763.0,763.0,763.0,763.0,763.0,763.0,763.0,763.0,763.0,763.0,763.0,763.0,763.0
18,2004-07-01,502.81,796.49,796.49,796.49,796.49,796.49,796.49,796.49,796.49,796.49,796.49,796.49,796.49,796.49,796.49,796.49,796.49,796.49,796.49,796.49,796.49,796.49,796.49,796.49,796.49,796.49,796.49,796.49,796.49,796.49,796.49,796.49,796.49,796.49,796.49,796.49,796.49,796.49,796.49,796.49,796.49,796.49,796.49,796.49,796.49,796.49,796.49,796.49,796.49,796.49,796.49,796.49,796.49,796.49,796.49,796.49,796.49,796.49,796.49,796.49,796.49,796.49,796.49,796.49,796.49,796.49,796.49
19,2004-08-01,549.28,860.9,860.9,860.9,860.9,860.9,860.9,860.9,860.9,860.9,860.9,860.9,860.9,860.9,860.9,860.9,860.9,860.9,860.9,860.9,860.9,860.9,860.9,860.9,860.9,860.9,860.9,860.9,860.9,860.9,860.9,860.9,860.9,860.9,860.9,860.9,860.9,860.9,860.9,860.9,860.9,860.9,860.9,860.9,860.9,860.9,860.9,860.9,860.9,860.9,860.9,860.9,860.9,860.9,860.9,860.9,860.9,860.9,860.9,860.9,860.9,860.9,860.9,860.9,860.9,860.9,860.9
